名字,正文,时间
"
二胎咸鱼妹",能住院还是有希望 ,20200123-20200207
"
紫藤jxrf",爷爷健康长寿 ,20200123-20200207
"
蔡徐坤儿丈母娘",祝愿老人健康长寿 ,20200123-20200207
"
金贱往",普通老人呢 ,20200123-20200207
"
心醉的年华",祝老人家健康长寿！ ,20200123-20200207
"
海豚有海风筝有风__",老人家以前是抗战老兵，身体好也是一部分原因 ,20200123-20200207
"
小树777",老爷子绝对要活过一百岁了 ,20200123-20200207
"
桃之瑶瑶-_-",长命百岁 ,20200123-20200207
"
一直到永远2015",91岁都抗疫胜利，我们更有信息 ,20200123-20200207
"
魔道祖師江晚吟夫人",愿老人健康长寿！哇咔咔 ,20200123-20200207
"
栀子清露",老爷子身体好啊 ,20200123-20200207
"
魔道祖師江晚吟夫人",牛逼！！加油！！?? ,20200123-20200207
"
麻花老虎狗",给老爷爷小红心 ,20200123-20200207
"
ChanLoring",太好了太好了！！！ ,20200123-20200207
"
24小时避风港2823",我们宜昌的老人家，宜昌市三医院救治成功的，感谢医务人员的付出，祝老人家健康万福 ,20200123-20200207
"
戒染68091",加油！！！ ,20200123-20200207
"
简单的黄生",一看就是长寿 ,20200123-20200207
"
老猫a7199520",很赞哦 大家都加油，扛过去 ,20200123-20200207
"
hrn812",生命力强劲旺盛，必有后福！ ,20200123-20200207
"
Gholien_Wxx",致敬！ ,20200123-20200207
"
你是我的心中最美的云",必有后福 ,20200123-20200207
"
十堰高警",真正的好消息！相信一天更比一天好！ ,20200123-20200207
"
艺朮是一首诗",加油，老人家 ,20200123-20200207
"
无处不在杨元素",这么大年龄了，医生和病人都是好样的！ ,20200123-20200207
"
晴天小哥哥a",希望老人健康长寿 ,20200123-20200207
"
晴天小哥哥a",致敬工作人员你们辛苦了 ,20200123-20200207
"
不吃糖的小洁洁",我是武汉的大学生，我同意征用，睡我的床都行，大不了买新的，只是别把我的学位证毕业证户口本电脑弄丢了，不然补办很麻烦。我相信绝大多数的大学生和我一样的想法。连学生寝室都征用，我们的大武汉肯定到了特别危急的时刻了。谁不希望她快点好呢？ ,20200123-20200207
"
西瓜皮不甜西瓜甜",众志成城，一定会度过难过的！ ,20200123-20200207
"
聆风听雨37204",窃以为酒店饭店商品关门，亏损十几上百万不止，并未听闻老板哭天喊地。您宿舍无非是衣物被褥，又何必计较?寒假谁不把贵重东西带回家?您捐款就捐款呗，就事论事，跟你捐没捐款有什么关系? ,20200123-20200207
"
回_憶-QL奇隆滙",不好意思我没您那么高大上，我只知道我爸妈辛苦赚钱也不是大风刮来的。我们在家已经捐款了，您捐了么？ ,20200123-20200207
"
回_憶-QL奇隆滙",若我学校宿舍被征用，麻烦您帮我补齐学校东西，我不反对。谢谢。 ,20200123-20200207
"
Seesome了",不关您事您就别插了啊，该干嘛干嘛去 ,20200123-20200207
"
Seesome了",怎么，我们宿舍被搞成那鬼样，你在这说什么呢， ,20200123-20200207
"
Seesome了",商学院的 ,20200123-20200207
"
云生365",我捐款了你怎么说？ ,20200123-20200207
"
赢再坚持",最后一次回复你，感觉你应该就是一只自私自利没用奉献精神的社会蛀虫吧，我为国家有你这样的没有担当的成年学生感到惋惜。 ,20200123-20200207
"
赢再坚持",我起码为国家交税了。武汉捐款了。你干啥了?只知道一味地向国家索取。国家需要占用一个没人住的宿舍的时候你还那么自私。 ,20200123-20200207
"
云生365",站着说些又不是落实到实际行动的好听话谁不会啊？ ,20200123-20200207
"
云生365",你也说了是如果？先让出来了再说吧 ,20200123-20200207
"
赢再坚持",你只有使用权，没有所有权如果我武汉有一套房子而且没人住的话我会为了挽救其他人生命改造成隔离房，但学校宿舍隔离间多利于医护人员管理治疗，而普通家庭房顶多就3间。 ,20200123-20200207
"
memory_0726",是您自己说不喜欢武汉不想来武汉，那还读什么书呢 ,20200123-20200207
"
九三路25号",就那些破东西还在这里叽叽歪歪，说明你穷，把别人的命不当命，说明你坏，到现在还搞不清楚状况，说明你蠢 ,20200123-20200207
"
九三路25号",回家问问你妈你脸大不大？？ ,20200123-20200207
"
倾尽所有去爱妳",没做什么，就是捐了点口罩。还有就是所有人把你这样的人保护的挺好的，你却不知道感恩社会。 ,20200123-20200207
"
这歌少女不太冷丶",没有说你们不能有知情权啊，是说现在所有人都在奉献自己的一份力量，因为看到有个别人的言论太自私了才发言的 ,20200123-20200207
"
就你会逼逼赖赖",看到武软的新闻了？用事实说话吧。这才叫做让广大学子心寒！ ,20200123-20200207
"
茶伊i_",你自己去看看武软的热搜？我都不懂你们这些不是当事人的有什么底气张口就来？？ ,20200123-20200207
"
念沉珂",好啦好啦，没你啥事就不要在这里找存在感了 ,20200123-20200207
"
念沉珂",又出来一个找喷的，哈哈哈哈你是不是现在特闲呀想找个人对骂 ,20200123-20200207
"
此生若须臾",征用宿舍，征用你个人物品了吗？你想多了吧。你那破玩意能值一万块？而且请你搞清楚，你是租户，而这些宿舍财产属于公共的，理论上，你的权益低于群体的权益 ,20200123-20200207
"
此生若须臾",你还真把宿舍当你了？那个叫做公共财产。家庭住宅属于私有财产。不懂的时候，请你去看一下产权房。没文化就别出来抖机灵 ,20200123-20200207
"
瘫吧六",我就想问问，能不能查一下他学历是真事假啊 。 ,20200123-20200207
"
萌_祺祺",我只能说，国难当头，生命远比这些重要，不是吗？ ,20200123-20200207
"
数的绵羊都着了",那你搁我这叭叭这么久干嘛呢滚 ,20200123-20200207
"
聆风听雨37204",你没长眼睛啊能不能别叭叭我了?是那个人回复的我才跟他留言ok?你以为我想在你这留言? ,20200123-20200207
"
数的绵羊都着了",是不是没长眼不识字嗯？ ,20200123-20200207
"
数的绵羊都着了",我说了让你转地去别的评论下或者是知乎别在我评论下叭叭了??????看着让我想骂你 ,20200123-20200207
"
云生365",搞得好像没交租金一样，租金再少也交了就有使用权 ,20200123-20200207
"
念沉珂",那处理确实是不妥这点你承认吗 ,20200123-20200207
"
聆风听雨37204",我觉得只要你的身份证银行卡或者电子产品没被乱丢都没什么，而且这些寒假我不信会不拿回家。其余衣物什么的没什么大不了 ,20200123-20200207
"
念沉珂",那也不能乱来啊，东西乱丢你觉得这个处理合适吗 ,20200123-20200207
"
聆风听雨37204",没什么错。可现实是找不到妥善的处理 ,20200123-20200207
"
念沉珂",我们要的并不是病人离开，只是想要一个妥善的处理，一个合理的处理仅此而已，请问这又有什么错呢 ,20200123-20200207
"
念沉珂",东西完全可以妥善处理，可现实并不如此，难道学生的东西可以随便处置吗？这以后随还敢把东西放在宿舍 ,20200123-20200207
"
聆风听雨37204",可以啊。我也是大学生，征用宿舍完全同意啊。你只是拥有宿舍的使用权，又不是所有权。当然，你也有私人物品，但是寒假应该把重要物品带回家了吧。确实应该提前告知，这是他们工作的不足，不过仔细一想，提前告知又有什么用呢，难道让大家回去拿吗? ,20200123-20200207
"
念沉珂",征用宿舍没什么意见，提前告知一下都不行？为什么还要动宿舍的东西？ ,20200123-20200207
"
念沉珂",那请问能不能去你宿舍 ,20200123-20200207
"
聆风听雨37204",真是不明事理，你家跟宿舍难道是一回事?你现在舒舒服服躺在家里避瘟，人家去的是你宿舍救命又不是去你家，瞎激动什么? ,20200123-20200207
"
念沉珂",你付出了什么请问 ,20200123-20200207
"
念沉珂",难道学生连个知情权都不能有吗？ ,20200123-20200207
"
念沉珂",那请问病人可以住你家吗？ ,20200123-20200207
"
念沉珂",既然你这么说，是不是病人也可以住你家呢？ ,20200123-20200207
"
千面戏子独成欢",都进去了 ,20200123-20200207
"
千面戏子独成欢",已经进去了 ,20200123-20200207
"
耿耿於懐",哈哈哈笑死我了 这就是你的理解能力吗 在家里自说自话 我不知道像你这样的人有什么道德 我又做了什么没道德低等畜牲 真的好笑 ,20200123-20200207
"
股市第六帝国",转发微博 ,20200123-20200207
"
赢再坚持",学校不是你家的房子呀。学校是国家的! ,20200123-20200207
"
是想要甜甜的小田啊",我们学校1000间宿舍已经收完了 ,20200123-20200207
"
浑水袍哥_胡鹏鹏",不存在人传人的。 ,20200123-20200207
"
聆风听雨37204",有福伤财，无福损己。只不过受伤的不是你自己罢了 ,20200123-20200207
"
数的绵羊都着了",换位思考呵呵麻烦你转让地方去知乎上看看关于这次用宿舍的帖子????别在我评论下给我找存在感了????要找存在感自个评论去 ,20200123-20200207
"
数的绵羊都着了",求求你去知乎上看看关于用宿舍的帖子别在这里无脑喷 ,20200123-20200207
"
数的绵羊都着了",我回复你了？你回复你吗呢？你做个人好不好劳资没回复你你就别回复劳资????自己主动找上门骂？ ,20200123-20200207
"
庄之烈",党领导一切，政府是绝对权威，任何人、机构都有犯错的可能，有问题还不能说了 ,20200123-20200207
"
斐然J_",想的和你说的差不多 家里人看到建医院就说为什么不能提前先征用学校酒店之类的 因为湖北医院那边病床根本不够 不少人都自己在家隔离 真的太让人心疼了… ,20200123-20200207
"
斐然J_",我觉得应该是教室之类的可能性大????宿舍那边学校应该会给你们考虑到的吧！ ,20200123-20200207
"
你看你这个秃脑袋呱呱呱呱",您最搞笑啦管他是什么合同，您自己也说共克时艰不是嘛，大家一起出力呗。您这么高尚肯定特别乐意是吧，还贴上三个月水电费 ,20200123-20200207
"
皇甫--dear",那不要上升到党和政府呀 ,20200123-20200207
"
皇甫--dear",所以要继续拥护呀，不然就乱了 ,20200123-20200207
"
皇甫--dear",自己要有分辨的意识，有些就是颜色革命， ,20200123-20200207
"
皇甫--dear",每个人每个政府都有错，不要一有错就上升到国家中央，其心可诛 ,20200123-20200207
"
孟广斌",我以为征用公共区域，比如教室之类的，然后搬出桌椅搬入床铺 ,20200123-20200207
"
孟广斌",对不起，是我天真了！ ,20200123-20200207
"
熊猫文文gwb",求求你们了 你们去看一下肺炎患者求助超话 里面无数的武汉大学生在为自己双肺严重感染但没有床位也不能去酒店只能在家里隔离等死的父亲母亲求爷爷告奶奶就为了能让他们活下来 有的学生已经眼睁睁看着自己的亲人死在自己的身边 一个个家庭就这样破碎了????很多人已经崩溃了 ,20200123-20200207
"
香蕉玛芬与红酒炖牛肉",你又是哪里来的没文化的小学生 ,20200123-20200207
"
香蕉玛芬与红酒炖牛肉",你跟学校签的又不是租房合同，你好搞笑哦 ,20200123-20200207
"
kuuiqw",麻烦你了解清楚意思再说好吧，我有说不欢迎被征用么，如果被征用了我也十分乐意做贡献。征用学生宿舍就是欠妥，有的同学觉得没事，还有的同学宿舍里还很多重要的东西，光凭一张嘴谁都会说，全往学生头上推，事没到自己头上就瞎起哄，说些让学生安心的话或者更有效建议谁会喷他？纯属无脑发言。 ,20200123-20200207
"
半岛甜茉莉",那干脆把所有学生宿舍都给征用了算了，管他什么武汉大学江汉大学，大家人人平等，都给用了 ,20200123-20200207
"
向梦想飞2016",征用了4所大学。 ,20200123-20200207
"
iicy2",不是 事业单位九号 企业17还是19号之后 ,20200123-20200207
"
摸虾中郎将",你是没在体制里，上面怎么说你就怎么干就得了。古代官场那一套多磕头少说话的规矩到现在依然管用就说明很有问题。你想当青天大老爷，那你就清廉去吧，海瑞终其一生也没什么政治生命，上来就把自己堵死了。 ,20200123-20200207
"
小伤心6192596522",知道啊，可是在此之前就不能提前通知吗，据我所了解，有些私人物品都是被丢的，妥善保管，就算心里怎么不愿意，也是支持的呀 ,20200123-20200207
"
等一个知情人",自私自利希望病毒发生你身边人 ,20200123-20200207
"
等一个知情人",对你这种人 ,20200123-20200207
"
等一个知情人",没道理讲 ,20200123-20200207
"
微笑落尘",你吃S啦？ ,20200123-20200207
"
十一子时",心疼你们 ,20200123-20200207
"
十一子时",嗯嗯嗯嗯现在知道了，我最开始以为不会用宿舍的 ,20200123-20200207
"
77吧吧爱",为什么我看到病床使用情况火神山只有68张？ ,20200123-20200207
"
聆风听雨37204",说来说去还是心疼你那点财产都什么时候了还在乎这个。况且笔记本电脑有几个人会丢宿舍不带回家?再不济也会锁柜子里有那么容易拿?。明确告诉你这回会死很多人谁他妈有空拿你台破电脑。不会换位思考吗?要是你家人患病没地方住估计你会双手赞成征用宿舍。 ,20200123-20200207
